IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.220.83,443,443,TRUE,FRA,Europe,Frankfurt,259,5.46
34.116.159.183,443,443,TRUE,FRA,Europe,Frankfurt,317,5.45
34.116.200.216,443,443,TRUE,FRA,Europe,Frankfurt,331,5.45
34.118.4.227,443,443,TRUE,FRA,Europe,Frankfurt,269,5.45
34.154.52.15,443,443,TRUE,FRA,Europe,Frankfurt,251,5.45
34.89.238.170,443,443,TRUE,FRA,Europe,Frankfurt,255,5.44
34.118.21.204,443,443,TRUE,FRA,Europe,Frankfurt,330,5.44
34.91.1.34,443,443,TRUE,FRA,Europe,Frankfurt,285,5.43
34.118.3.118,443,443,TRUE,FRA,Europe,Frankfurt,282,5.43
34.65.187.42,443,443,TRUE,FRA,Europe,Frankfurt,250,5.43
34.91.84.129,443,443,TRUE,FRA,Europe,Frankfurt,259,5.43
34.116.217.100,443,443,TRUE,FRA,Europe,Frankfurt,267,5.41
34.91.156.200,443,443,TRUE,FRA,Europe,Frankfurt,263,5.41
34.116.245.32,443,443,TRUE,FRA,Europe,Frankfurt,320,5.41
34.116.156.226,443,443,TRUE,FRA,Europe,Frankfurt,314,5.41
34.91.183.32,443,443,TRUE,FRA,Europe,Frankfurt,268,5.4
34.118.70.74,443,443,TRUE,FRA,Europe,Frankfurt,322,5.39
34.118.18.167,443,443,TRUE,FRA,Europe,Frankfurt,269,5.38
34.91.195.105,443,443,TRUE,FRA,Europe,Frankfurt,260,5.37
34.89.180.110,443,443,TRUE,FRA,Europe,Frankfurt,259,5.36
34.154.83.3,443,443,TRUE,FRA,Europe,Frankfurt,251,5.36
34.118.51.1,443,443,TRUE,FRA,Europe,Frankfurt,314,5.36
34.118.58.9,443,443,TRUE,FRA,Europe,Frankfurt,294,5.35
34.90.118.98,443,443,TRUE,FRA,Europe,Frankfurt,265,5.35
34.118.74.155,443,443,TRUE,FRA,Europe,Frankfurt,322,5.33
34.65.229.117,443,443,TRUE,FRA,Europe,Frankfurt,261,5.33
34.118.3.118,443,443,TRUE,FRA,Europe,Frankfurt,315,5.33
34.89.175.145,443,443,TRUE,FRA,Europe,Frankfurt,264,5.32
34.90.4.9,443,443,TRUE,AMS,Europe,Amsterdam,260,5.32
34.91.230.226,443,443,TRUE,FRA,Europe,Frankfurt,256,5.32
34.118.17.165,443,443,TRUE,FRA,Europe,Frankfurt,322,5.31
34.118.62.126,443,443,TRUE,FRA,Europe,Frankfurt,278,5.31
34.116.246.103,443,443,TRUE,FRA,Europe,Frankfurt,286,5.31
34.116.170.77,443,443,TRUE,FRA,Europe,Frankfurt,308,5.3
34.116.184.196,443,443,TRUE,FRA,Europe,Frankfurt,316,5.3
34.118.32.141,443,443,TRUE,FRA,Europe,Frankfurt,437,5.29
34.90.195.121,443,443,TRUE,FRA,Europe,Frankfurt,274,5.29
34.154.8.174,443,443,TRUE,FRA,Europe,Frankfurt,253,5.29
34.154.220.250,443,443,TRUE,FRA,Europe,Frankfurt,272,5.28
34.116.251.49,443,443,TRUE,FRA,Europe,Frankfurt,319,5.28
34.118.7.104,443,443,TRUE,FRA,Europe,Frankfurt,318,5.27
34.118.56.112,443,443,TRUE,FRA,Europe,Frankfurt,304,5.27
34.116.200.90,443,443,TRUE,FRA,Europe,Frankfurt,318,5.27
34.89.158.132,443,443,TRUE,FRA,Europe,Frankfurt,273,5.27
34.118.70.12,443,443,TRUE,FRA,Europe,Frankfurt,320,5.27
34.90.118.98,443,443,TRUE,FRA,Europe,Frankfurt,289,5.26
34.118.67.161,443,443,TRUE,FRA,Europe,Frankfurt,270,5.25
34.118.75.249,443,443,TRUE,FRA,Europe,Frankfurt,275,5.23
34.89.248.119,443,443,TRUE,FRA,Europe,Frankfurt,270,5.22
34.116.141.181,443,443,TRUE,FRA,Europe,Frankfurt,325,5.21
34.154.189.46,443,443,TRUE,FRA,Europe,Frankfurt,262,5.21
34.90.173.34,443,443,TRUE,FRA,Europe,Frankfurt,256,5.2
34.154.198.179,443,443,TRUE,FRA,Europe,Frankfurt,253,5.19
34.154.67.215,443,443,TRUE,FRA,Europe,Frankfurt,254,5.17
34.89.248.119,443,443,TRUE,FRA,Europe,Frankfurt,270,5.13
34.118.116.97,443,443,TRUE,FRA,Europe,Frankfurt,287,5.12
34.118.7.104,443,443,TRUE,FRA,Europe,Frankfurt,271,5.12
34.116.149.54,443,443,TRUE,FRA,Europe,Frankfurt,322,5.11
34.116.236.192,443,443,TRUE,FRA,Europe,Frankfurt,275,5.11
34.118.70.74,443,443,TRUE,FRA,Europe,Frankfurt,269,5.07
34.118.16.81,443,443,TRUE,FRA,Europe,Frankfurt,268,5.07
34.118.49.115,443,443,TRUE,FRA,Europe,Frankfurt,284,5.06
34.118.26.158,443,443,TRUE,FRA,Europe,Frankfurt,304,5.04
34.118.56.112,443,443,TRUE,FRA,Europe,Frankfurt,266,5.01
34.118.110.163,443,443,TRUE,FRA,Europe,Frankfurt,269,4.99
34.118.84.164,443,443,TRUE,FRA,Europe,Frankfurt,269,4.99
34.116.245.42,443,443,TRUE,FRA,Europe,Frankfurt,274,4.99
34.116.174.179,443,443,TRUE,FRA,Europe,Frankfurt,341,4.95
34.118.37.55,443,443,TRUE,FRA,Europe,Frankfurt,287,4.94
34.116.212.119,443,443,TRUE,FRA,Europe,Frankfurt,303,4.91
34.118.20.131,443,443,TRUE,FRA,Europe,Frankfurt,281,4.9
34.116.224.223,443,443,TRUE,FRA,Europe,Frankfurt,310,4.9
34.116.220.92,443,443,TRUE,FRA,Europe,Frankfurt,314,4.89
34.118.126.46,443,443,TRUE,FRA,Europe,Frankfurt,267,4.88
34.118.100.32,443,443,TRUE,FRA,Europe,Frankfurt,285,4.87
34.116.143.230,443,443,TRUE,FRA,Europe,Frankfurt,321,4.87
34.116.149.43,443,443,TRUE,FRA,Europe,Frankfurt,431,4.86
34.116.245.32,443,443,TRUE,FRA,Europe,Frankfurt,274,4.86
34.116.255.233,443,443,TRUE,FRA,Europe,Frankfurt,274,4.85
34.116.182.250,443,443,TRUE,FRA,Europe,Frankfurt,312,4.84
34.118.58.9,443,443,TRUE,FRA,Europe,Frankfurt,287,4.84
34.116.143.235,443,443,TRUE,FRA,Europe,Frankfurt,335,4.84
34.116.246.103,443,443,TRUE,FRA,Europe,Frankfurt,310,4.84
34.118.93.116,443,443,TRUE,FRA,Europe,Frankfurt,270,4.81
34.118.62.126,443,443,TRUE,FRA,Europe,Frankfurt,318,4.79
34.118.41.105,443,443,TRUE,FRA,Europe,Frankfurt,336,4.79
34.118.112.88,443,443,TRUE,FRA,Europe,Frankfurt,269,4.73
34.118.74.155,443,443,TRUE,FRA,Europe,Frankfurt,269,4.73
34.116.241.42,443,443,TRUE,FRA,Europe,Frankfurt,335,4.72
34.118.21.204,443,443,TRUE,FRA,Europe,Frankfurt,270,4.7
34.118.23.155,443,443,TRUE,FRA,Europe,Frankfurt,269,4.67
34.118.30.13,443,443,TRUE,FRA,Europe,Frankfurt,270,4.67
34.118.70.12,443,443,TRUE,FRA,Europe,Frankfurt,281,4.67
34.118.46.202,443,443,TRUE,FRA,Europe,Frankfurt,310,4.66
34.118.29.160,443,443,TRUE,FRA,Europe,Frankfurt,270,4.59
34.118.16.81,443,443,TRUE,FRA,Europe,Frankfurt,329,4.57
34.118.122.67,443,443,TRUE,FRA,Europe,Frankfurt,297,4.57
34.116.214.20,443,443,TRUE,FRA,Europe,Frankfurt,332,4.56
34.116.241.42,443,443,TRUE,FRA,Europe,Frankfurt,272,4.56
34.118.46.202,443,443,TRUE,FRA,Europe,Frankfurt,267,4.54
34.118.10.54,443,443,TRUE,FRA,Europe,Frankfurt,273,4.52
34.116.255.233,443,443,TRUE,FRA,Europe,Frankfurt,298,4.51
34.118.84.164,443,443,TRUE,FRA,Europe,Frankfurt,308,4.49
34.116.233.114,443,443,TRUE,FRA,Europe,Frankfurt,274,4.47
34.118.26.158,443,443,TRUE,FRA,Europe,Frankfurt,277,4.41
34.116.186.105,443,443,TRUE,FRA,Europe,Frankfurt,322,4.29
34.116.167.166,443,443,TRUE,FRA,Europe,Frankfurt,297,4
34.105.140.105,443,443,TRUE,LHR,Europe,London,201,3.67
34.175.99.73,2086,80,FALSE,MAD,Europe,Madrid,192,2.55
35.229.161.32,443,443,TRUE,TPE,Asia Pacific,Taipei,55,2.54
34.175.99.73,2095,80,FALSE,MAD,Europe,Madrid,190,2.52
34.147.101.117,2087,80,FALSE,AMS,Europe,Amsterdam,210,2.46
34.175.133.251,2052,80,FALSE,MAD,Europe,Madrid,189,2.39
34.175.99.73,2052,80,FALSE,MAD,Europe,Madrid,189,2.31
34.175.133.251,2095,80,FALSE,MAD,Europe,Madrid,191,2.27
34.141.221.33,2095,80,FALSE,AMS,Europe,Amsterdam,199,2.25
34.147.101.117,2053,80,FALSE,AMS,Europe,Amsterdam,199,2.25
34.141.248.249,2052,80,FALSE,AMS,Europe,Amsterdam,203,2.25
34.175.133.251,2083,80,FALSE,MAD,Europe,Madrid,190,2.23
34.141.248.249,2082,80,FALSE,AMS,Europe,Amsterdam,199,2.23
34.141.248.249,2053,80,FALSE,AMS,Europe,Amsterdam,202,2.22
34.147.101.117,2096,80,FALSE,AMS,Europe,Amsterdam,200,2.22
34.175.133.251,2082,80,FALSE,MAD,Europe,Madrid,190,2.22
34.141.221.33,2082,80,FALSE,AMS,Europe,Amsterdam,198,2.21
34.175.133.251,2087,80,FALSE,MAD,Europe,Madrid,191,2.18
34.175.133.251,2086,80,FALSE,MAD,Europe,Madrid,190,2.18
34.147.101.117,2052,80,FALSE,AMS,Europe,Amsterdam,198,2.18
34.175.95.58,2053,80,FALSE,MAD,Europe,Madrid,198,2.12
34.175.7.231,2087,80,FALSE,MAD,Europe,Madrid,190,2.12
34.175.133.251,2096,80,FALSE,MAD,Europe,Madrid,189,2.12
34.175.7.231,2052,80,FALSE,MAD,Europe,Madrid,190,2.12
34.141.221.33,2052,80,FALSE,AMS,Europe,Amsterdam,210,2.1
34.175.95.58,2087,80,FALSE,MAD,Europe,Madrid,198,2.09
34.175.7.231,2082,80,FALSE,MAD,Europe,Madrid,192,2.09
34.175.7.231,2053,80,FALSE,MAD,Europe,Madrid,190,2.08
34.175.95.58,2086,80,FALSE,MAD,Europe,Madrid,190,2.08
34.141.221.33,2053,80,FALSE,AMS,Europe,Amsterdam,201,2.08
34.175.99.73,2082,80,FALSE,MAD,Europe,Madrid,198,2.08
34.175.99.73,2096,80,FALSE,MAD,Europe,Madrid,190,2.08
34.141.248.249,2096,80,FALSE,AMS,Europe,Amsterdam,199,2.07
34.175.143.15,2095,80,FALSE,MAD,Europe,Madrid,192,2.07
34.147.101.117,2083,80,FALSE,AMS,Europe,Amsterdam,210,2.06
34.141.221.33,2083,80,FALSE,AMS,Europe,Amsterdam,200,2.05
34.147.101.117,2095,80,FALSE,AMS,Europe,Amsterdam,199,2.05
34.147.101.117,2095,80,FALSE,AMS,Europe,Amsterdam,200,2.05
34.147.101.117,2083,80,FALSE,AMS,Europe,Amsterdam,199,2.05
34.175.133.251,2053,80,FALSE,MAD,Europe,Madrid,188,2.05
34.141.248.249,2083,80,FALSE,AMS,Europe,Amsterdam,201,2.05
35.187.41.171,2087,80,FALSE,CDG,Europe,Paris,197,2.05
34.141.248.249,2086,80,FALSE,AMS,Europe,Amsterdam,202,2.05
34.147.101.117,2082,80,FALSE,AMS,Europe,Amsterdam,199,2.04
34.147.101.117,2087,80,FALSE,AMS,Europe,Amsterdam,202,2.04
34.147.101.117,2086,80,FALSE,AMS,Europe,Amsterdam,199,2.04
34.141.248.249,2087,80,FALSE,AMS,Europe,Amsterdam,209,2.04
34.175.95.58,2082,80,FALSE,MAD,Europe,Madrid,202,2.03
34.175.95.58,2095,80,FALSE,MAD,Europe,Madrid,196,2.03
34.147.82.194,2053,80,FALSE,AMS,Europe,Amsterdam,200,2.03
34.141.221.33,2096,80,FALSE,AMS,Europe,Amsterdam,198,1.98
34.141.221.33,2087,80,FALSE,AMS,Europe,Amsterdam,203,1.96
34.175.95.58,2096,80,FALSE,MAD,Europe,Madrid,198,1.96
34.175.95.58,2052,80,FALSE,MAD,Europe,Madrid,190,1.95
34.147.101.117,2052,80,FALSE,AMS,Europe,Amsterdam,199,1.95
35.187.41.171,2083,80,FALSE,CDG,Europe,Paris,198,1.89
34.65.173.34,443,443,TRUE,FRA,Europe,Frankfurt,309,1.89
34.141.221.33,2086,80,FALSE,AMS,Europe,Amsterdam,198,1.82
34.154.67.14,443,443,TRUE,FRA,Europe,Frankfurt,350,1.32
35.204.39.56,443,443,TRUE,FRA,Europe,Frankfurt,302,1.2
34.107.64.17,443,443,TRUE,FRA,Europe,Frankfurt,391,1.13
35.242.249.117,443,443,TRUE,FRA,Europe,Frankfurt,312,1.07
34.89.163.70,443,443,TRUE,FRA,Europe,Frankfurt,292,0.89
34.116.171.221,443,443,TRUE,FRA,Europe,Frankfurt,384,0.82
34.107.5.109,443,443,TRUE,FRA,Europe,Frankfurt,354,0.74
34.34.50.184,443,443,TRUE,FRA,Europe,Frankfurt,292,0.69
34.65.204.207,443,443,TRUE,FRA,Europe,Frankfurt,284,0.56
35.204.225.94,443,443,TRUE,FRA,Europe,Frankfurt,301,0.53
34.35.36.97,2053,443,TRUE,JNB,Africa,Johannesburg,372,0.48
34.35.36.97,8443,443,TRUE,JNB,Africa,Johannesburg,377,0.47
34.159.63.65,443,443,TRUE,FRA,Europe,Frankfurt,313,0.46
34.91.226.111,443,443,TRUE,FRA,Europe,Frankfurt,318,0.45
35.200.238.235,443,443,TRUE,BOM,Asia Pacific,Mumbai,120,0.44
35.200.238.235,443,443,TRUE,BOM,Asia Pacific,Mumbai,210,0.44
